,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,female,0,yes,no,1,no,no,dsl,no,yes,no,no,no,no,month,yes,electronic,29.85,29.85,no
1,male,0,no,no,34,yes,no,dsl,yes,no,yes,no,no,no,one year,no,mailed,56.95,1889.5,no
2,male,0,no,no,2,yes,no,dsl,yes,yes,no,no,no,no,month,yes,mailed,53.85,108.15,yes
3,male,0,no,no,45,no,no,dsl,yes,no,yes,yes,no,no,one year,no,bank transfer,42.3,1840.75,no
4,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month,yes,electronic,70.7,151.65,yes
5,female,0,no,no,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month,yes,electronic,99.65,820.5,yes
6,male,0,no,yes,22,yes,yes,fiber optic,no,yes,no,no,yes,no,month,yes,credit card,89.1,1949.4,no
7,female,0,no,no,10,no,no,dsl,yes,no,no,no,no,no,month,no,mailed,29.75,301.9,no
8,female,0,yes,no,28,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month,yes,electronic,104.8,3046.05,yes
9,male,0,no,yes,62,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer,56.15,3487.95,no
10,male,0,yes,yes,13,yes,no,dsl,yes,no,no,no,no,no,month,yes,mailed,49.95,587.45,no
11,male,0,no,no,16,yes,no,no,no,no,no,no,no,no,two year,no,credit card,18.95,326.8,no
12,male,0,yes,no,58,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,no,credit card,100.35,5681.1,no
13,male,0,no,no,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month,yes,bank transfer,103.7,5036.3,yes
14,male,0,no,no,25,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month,yes,electronic,105.5,2686.05,no
15,female,0,yes,yes,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card,113.25,7895.15,no
16,female,0,no,no,52,yes,no,no,no,no,no,no,no,no,one year,no,mailed,20.65,1022.95,no
17,male,0,no,yes,71,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,no,bank transfer,106.7,7382.25,no
18,female,0,yes,yes,10,yes,no,dsl,no,no,yes,yes,no,no,month,no,credit card,55.2,528.35,yes
19,female,0,no,no,21,yes,no,fiber optic,no,yes,yes,no,no,yes,month,yes,electronic,90.05,1862.9,no
20,male,1,no,no,1,no,no,dsl,no,no,yes,no,no,yes,month,yes,electronic,39.65,39.65,yes
21,male,0,yes,no,12,yes,no,no,no,no,no,no,no,no,one year,no,bank transfer,19.8,202.25,no
22,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.15,20.15,yes
23,female,0,yes,no,58,yes,yes,dsl,no,yes,no,yes,no,no,two year,yes,credit card,59.9,3505.1,no
24,male,0,yes,yes,49,yes,no,dsl,yes,yes,no,yes,no,no,month,no,credit card,59.6,2970.3,no
25,female,0,no,no,30,yes,no,dsl,yes,yes,no,no,no,no,month,yes,bank transfer,55.3,1530.6,no
26,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,yes,month,yes,electronic,99.35,4749.15,yes
27,male,0,yes,yes,1,no,no,dsl,no,yes,no,no,no,no,month,no,electronic,30.2,30.2,yes
28,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card,90.25,6369.45,no
29,female,0,no,yes,17,yes,no,dsl,no,no,no,no,yes,yes,month,yes,mailed,64.7,1093.1,yes
30,female,1,yes,no,71,yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,yes,credit card,96.35,6766.95,no
31,male,1,yes,no,2,yes,no,fiber optic,no,no,yes,no,yes,yes,month,yes,credit card,95.5,181.65,no
32,female,0,yes,yes,27,yes,no,dsl,yes,yes,yes,yes,no,no,one year,no,mailed,66.15,1874.45,no
33,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,bank transfer,20.2,20.2,no
34,male,1,no,no,1,yes,no,dsl,no,no,no,no,no,no,month,no,bank transfer,45.25,45.25,no
35,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,no,bank transfer,99.9,7251.7,no
36,male,0,no,no,5,yes,no,fiber optic,no,no,no,no,no,no,month,yes,electronic,69.7,316.9,yes
37,female,0,no,no,46,yes,no,fiber optic,no,no,yes,no,no,no,month,yes,credit card,74.8,3548.3,no
38,male,0,no,no,34,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month,yes,electronic,106.35,3549.25,yes
39,female,0,no,no,11,yes,yes,fiber optic,no,no,yes,no,yes,yes,month,yes,bank transfer,97.85,1105.4,yes
40,male,0,yes,yes,10,yes,no,dsl,no,yes,no,no,no,no,one year,no,mailed,49.55,475.7,no
41,female,0,yes,yes,70,yes,yes,dsl,yes,yes,no,no,yes,no,two year,yes,credit card,69.2,4872.35,no
42,female,0,yes,yes,17,yes,no,no,no,no,no,no,no,no,one year,no,mailed,20.75,418.25,no
43,female,0,no,no,63,yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,yes,credit card,79.85,4861.45,no
44,female,0,yes,no,13,yes,yes,dsl,yes,yes,no,yes,yes,no,month,yes,electronic,76.2,981.45,no
45,female,0,no,no,49,yes,yes,fiber optic,no,no,no,no,no,yes,month,yes,electronic,84.5,3906.7,no
46,male,0,no,no,2,yes,no,dsl,no,yes,no,no,no,no,month,no,mailed,49.25,97.0,no
47,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,yes,no,month,yes,electronic,80.65,144.15,yes
48,male,0,no,no,52,yes,yes,dsl,yes,no,no,yes,yes,yes,two year,yes,credit card,79.75,4217.8,no
49,female,0,yes,yes,69,yes,yes,dsl,yes,no,yes,yes,no,no,two year,yes,credit card,64.15,4254.1,no
50,female,1,no,no,43,yes,yes,fiber optic,no,yes,no,no,yes,no,month,yes,electronic,90.25,3838.75,no
51,female,0,no,no,15,yes,no,fiber optic,yes,yes,no,no,yes,yes,month,yes,credit card,99.1,1426.4,yes
52,female,1,yes,no,25,yes,yes,dsl,yes,no,no,yes,yes,no,month,yes,credit card,69.5,1752.65,no
53,female,1,yes,no,8,yes,yes,fiber optic,no,yes,no,no,no,no,month,yes,credit card,80.65,633.3,yes
54,female,1,yes,yes,60,yes,no,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card,74.85,4456.35,no
55,male,1,no,no,18,yes,yes,fiber optic,no,no,no,no,yes,yes,month,yes,electronic,95.45,1752.55,yes
56,female,0,yes,yes,63,yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,yes,credit card,99.65,6311.2,no
57,male,1,yes,yes,66,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic,108.45,7076.35,no
58,female,0,yes,yes,34,yes,yes,no,no,no,no,no,no,no,two year,no,credit card,24.95,894.3,no
59,female,0,no,no,72,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,credit card,107.5,7853.7,no
60,female,0,yes,no,47,yes,yes,fiber optic,no,no,yes,no,yes,yes,month,yes,electronic,100.5,4707.1,no
61,male,0,no,no,60,yes,yes,fiber optic,no,yes,no,no,yes,no,month,yes,bank transfer,89.9,5450.7,no
62,male,0,yes,no,72,no,no,dsl,yes,yes,yes,no,no,no,two year,no,bank transfer,42.1,2962.0,no
63,female,0,yes,yes,18,yes,no,dsl,no,no,yes,yes,no,no,one year,yes,credit card,54.4,957.1,no
64,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,yes,yes,month,no,electronic,94.4,857.25,yes
65,female,0,no,no,3,yes,no,dsl,no,yes,no,yes,yes,yes,month,yes,electronic,75.3,244.1,no
66,male,0,yes,no,47,yes,yes,fiber optic,no,yes,no,no,no,no,one year,yes,electronic,78.9,3650.35,no
67,female,0,no,no,31,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed,79.2,2497.2,no
68,female,0,yes,yes,50,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,20.15,930.9,no
69,male,0,no,no,10,yes,no,fiber optic,yes,no,yes,no,no,no,month,yes,mailed,79.85,887.35,no
70,male,0,no,no,1,yes,no,dsl,no,no,no,yes,no,no,month,no,mailed,49.05,49.05,no
71,female,0,yes,yes,52,yes,no,no,no,no,no,no,no,no,one year,yes,electronic,20.4,1090.65,no
72,male,1,yes,yes,64,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,bank transfer,111.6,7099.0,no
